date,Sample Name,Transaction Amount,Category
2024-07-25,Environmental Charity Donation,60.00,Donations
2024-07-26,Airport Shuttle,-30.00,Transportation
2024-07-27,Air Conditioner Maintenance,-150.00,Home Improvement
2024-07-28,Swimming Lessons,-100.00,Health
2024-07-29,Outdoor Concert Tickets,-80.00,Entertainment
2024-07-30,Grocery Delivery,-89.75,Food
2024-07-31,Rent Payment,-1200.00,Housing
2024-08-01,Paycheck,3000.00,Income
2024-08-02,Gas Station,-49.50,Transportation
2024-08-03,Online Retailer,-78.99,Shopping
2024-08-04,Coffee Shop,-5.75,Food
2024-08-05,Water Bill,-52.00,Utilities
2024-08-06,Restaurant,-68.25,Food
2024-08-07,Streaming Service,-14.99,Entertainment
2024-08-08,Pharmacy,-41.75,Health
2024-08-09,Gym Membership,-50.00,Health
2024-08-10,Mobile Phone Bill,-75.00,Utilities
2024-08-11,School Supplies,-120.50,Education
2024-08-12,Public Transport,-30.00,Transportation
2024-08-13,Back-to-School Clothing,-175.00,Shopping
2024-08-14,Supermarket,-101.25,Food
2024-08-15,Internet Service,-60.00,Utilities
2024-08-15,Paycheck,3000.00,Income
2024-08-16,Haircut and Styling,-55.00,Personal Care
2024-08-17,Home Paint Job,-200.00,Home Improvement
2024-08-18,Fast Food,-13.50,Food
2024-08-19,Video Game Purchase,-59.99,Entertainment
2024-08-20,Pet Check-up,-95.00,Pets
2024-08-21,Car Insurance,-150.00,Insurance
2024-08-22,Annual Physical,-25.00,Health
2024-08-23,Office Chair,-189.99,Office
2024-08-24,Farmers Market Produce,-35.00,Food
2024-08-25,Local Food Bank Donation,50.00,Donations
2024-08-26,Bike Rental,-20.00,Transportation
2024-08-27,Window Cleaning Service,-75.00,Home Improvement
2024-08-28,Yoga Workshop,-40.00,Health
2024-08-29,Museum Membership,-65.00,Entertainment
2024-08-30,Grocery Delivery,-93.50,Food
2024-08-31,Rent Payment,-1200.00,Housing
2024-09-01,Paycheck,3000.00,Income
2024-09-02,Grocery Store,-85.32,Food
2024-09-03,Gas Station,-45.67,Transportation
2024-09-04,Online Retailer,-129.99,Shopping
2024-09-05,Coffee Shop,-4.50,Food
2024-09-05,Electric Company,-120.00,Utilities
2024-09-05,Freelance Work,500.00,Income
2024-09-06,Restaurant,-65.75,Food
2024-09-07,Movie Theater,-28.50,Entertainment
2024-09-08,Pharmacy,-32.45,Health
2024-09-08,Gift from Family,100.00,Gifts
2024-09-09,Gym Membership,-50.00,Health
2024-09-10,Mobile Phone Bill,-75.00,Utilities
2024-09-11,Bookstore,-39.99,Education
2024-09-12,Public Transport,-30.00,Transportation
2024-09-12,Side Gig,150.00,Income
2024-09-13,Clothing Store,-89.50,Shopping
2024-09-14,Supermarket,-102.75,Food
2024-09-15,Internet Service,-60.00,Utilities
2024-09-15,Paycheck,3000.00,Income
2024-09-16,Hair Salon,-55.00,Personal Care
2024-09-17,Hardware Store,-78.25,Home Improvement
2024-09-18,Fast Food,-12.99,Food
2024-09-18,Interest Income,25.50,Investment
2024-09-19,Streaming Service,-14.99,Entertainment
2024-09-20,Pet Store,-45.50,Pets
2024-09-20,Dividend Payment,75.00,Investment
2024-09-21,Car Insurance,-150.00,Insurance
2024-09-22,Dentist,-200.00,Health
2024-09-22,Tax Refund,250.00,Income
2024-09-23,Office Supplies,-28.75,Office
2024-09-24,Lunch with Colleagues,-35.00,Food
2024-09-25,Charity Donation,50.00,Donations
2024-09-25,Cashback Rewards,35.75,Income
2024-09-26,Parking Fee,-15.00,Transportation
2024-09-27,Home Decor Store,-75.50,Home Improvement
2024-09-28,Gym Equipment,-199.99,Health
2024-09-29,Concert Tickets,-120.00,Entertainment
2024-09-30,Grocery Delivery,-95.25,Food
2024-09-30,Rent Payment,-1200.00,Housing
